HR(t),Cal(t),Inte(t),METs(t),Steps(t),HR(t-1),Cal(t-1),Inte(t-1),METs(t-1),Steps(t-1),HR(t-2),Cal(t-2),Inte(t-2),METs(t-2),Steps(t-2),HR(t)_disc,Cal(t)_disc,Inte(t)_disc,METs(t)_disc,Steps(t)_disc,HR(t-1)_disc,Cal(t-1)_disc,Inte(t-1)_disc,METs(t-1)_disc,Steps(t-1)_disc,HR(t-2)_disc,Cal(t-2)_disc,Inte(t-2)_disc,METs(t-2)_disc,Steps(t-2)_disc
1.6963637968443175,1.0642719129930984,0.5900549955533133,1.064271756142641,0.24536289751963736,1.6790819088459998,1.5317175241583674,0.5900549955533133,1.5317175500734674,0.9541461815642694,1.905609737438397,1.7685961007124908,0.5934912170139123,1.7685960834289,1.7950299117001696,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2
2.152543352517465,1.181826968801362,0.5900549955533133,1.1818270602651293,-0.07737566341511559,1.695208464957647,1.0619426065182862,0.5900549955533133,1.061942449641717,0.2445053388681621,1.6753799216554102,1.5337945634099088,0.5934912170139123,1.533794589600562,0.956385848267478,3,2,1,2,2,2,2,1,2,1,2,1,1,1,2
1.8227318073549401,1.4169376206003965,0.5900549955533133,1.416937668510106,0.08399361705226088,2.151231635003642,1.179386133552051,0.5900549955533133,1.1793862247496545,-0.07805868053915944,1.6914799087731016,1.0641917585408844,0.5934912170139123,1.064191601943886,0.2467639484398158,3,2,1,2,2,2,2,1,2,1,2,1,1,1,1
1.0591463821417078,1.2993822947008764,0.5900549955533133,1.2993823643876177,0.34218446580006323,1.821533154498862,1.414273727289597,0.5900549955533133,1.4142737749655299,0.08322332916450133,2.1467517667122347,1.1815922574560302,0.5934912170139123,1.181592348858055,-0.07579146057275789,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1
0.18801371394067162,-0.581502514554501,-0.6565893867433013,-0.5815025015721967,-0.5292096487237697,1.0582094985475834,1.2968299304208213,0.5900549955533133,1.296829999857592,0.34127454469035856,1.8175964745283293,1.4163937947586178,0.5934912170139123,1.4163938426863931,0.08548624393352897,1,1,0,1,0,1,2,1,2,1,2,1,1,1,1
0.4246176485137947,0.241384631696486,0.5900549955533133,0.24138462728522203,-0.14192337560206617,0.18737546851863543,-0.5822704147270171,-0.6565893867433013,-0.5822704018694099,-0.5296483077094096,1.0555304176242926,1.2989930261073213,0.5934912170139123,1.298993095772224,0.3435305711435879,1,1,1,1,1,1,1,0,1,0,2,1,1,1,1
0.3654666648705123,-0.5227248516047438,-0.6565893867433013,-0.5227248495109525,-0.5292096487237697,0.42389829148946295,0.2398360284368832,0.5900549955533133,0.23983602388615347,-0.14257148442062376,0.1861311132689586,-0.5794188677091389,-0.6530154098707648,-0.5794188548544802,-0.5273690331903611,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0
0.30273077312764074,-0.5227248516047438,-0.6565893867433013,-0.5227248495109525,-0.5292096487237697,0.36476758574675444,-0.523548516292632,-0.6565893867433013,-0.5235485143154411,-0.5296483077094096,0.42226425766176745,0.2423863779818365,0.5934912170139123,0.24238637354470285,-0.14030254237527262,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1
0.18156087936140505,-0.5227248516047438,-0.6565893867433013,-0.5227248495109525,-0.5292096487237697,0.3020532008681279,-0.523548516292632,-0.6565893867433013,-0.5235485143154411,-0.5296483077094096,0.36323097156356365,-0.5207184833834934,-0.6530154098707648,-0.5207184813973957,-0.5273690331903611,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0
0.1449948167455566,-0.6402801775042583,-0.6565893867433013,-0.6402801536334409,-0.5292096487237697,0.1809248460739769,-0.523548516292632,-0.6565893867433013,-0.5235485143154411,-0.5296483077094096,0.3006199105503209,-0.5207184833834934,-0.6530154098707648,-0.5207184813973957,-0.5273690331903611,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0
